origen,destino,linea_origen,linea_destino,franja_horaria,dia_semana,es_festivo,distancia_km,misma_linea,origen_es_transbordo,destino_es_transbordo,ocupacion_vagon,tiempo_espera_min,num_paradas_estimadas,tarifa_cop,requiere_transbordo,congestion_alta
Tricentenario,La Independencia,A,K,mañana_pico,5,0,3.375,0,0,0,0.84,4,9,3300,1,1
Aguacatala,Hospital,A,A,madrugada,6,0,6.795,1,0,0,0.12,14,18,3300,0,0
Hospital,Envigado,A,A,mañana_valle,6,0,9.747,1,0,0,0.41,8,10,3300,0,0
Oriente,Exposiciones,T,A,madrugada,2,0,5.71,0,0,0,0.19,15,6,3300,1,0
Buenos Aires,Caribe,T,A,noche,7,0,4.375,0,0,0,0.28,11,3,3300,1,0
Andalucía,La Aurora,K,J,mañana_valle,3,0,8.632,0,0,0,0.51,5,12,3300,1,1
Juan XXIII,Poblado,J,A,madrugada,2,0,6.933,0,0,0,0.18,11,16,3300,1,0
Bello,Suramericana,A,B,tarde_valle,5,0,9.741,0,0,0,0.34,8,5,3300,1,0
Arví,Caribe,L,A,madrugada,3,0,8.383,0,0,0,0.14,15,17,3300,1,0
Alejandro Echavarría,Bicentenario,T,T,tarde_valle,1,0,0.543,1,0,0,0.28,6,3,3300,0,0
Buenos Aires,Asomadera,T,T,noche,5,0,1.237,1,0,0,0.22,12,18,3300,0,0
Trece de Noviembre,La Independencia,M,K,mañana_pico,7,0,7.83,0,0,0,0.86,2,4,3300,1,1
Vallejuelos,Parque Berrío,J,A,mañana_valle,2,0,6.988,0,0,0,0.34,5,12,3300,1,0
Vallejuelos,Itagüí,J,A,madrugada,3,0,10.988,0,0,0,0.12,12,5,3300,1,0
Trece de Noviembre,La Estrella,M,A,tarde_valle,5,0,11.239,0,0,0,0.27,9,6,3300,1,1
La Independencia,Santo Domingo,K,K,mañana_pico,2,0,1.007,1,0,1,0.91,4,2,3300,0,1
Bello,Universidad,A,A,madrugada,6,0,7.978,1,0,0,0.18,12,7,3300,0,0
Villa Sierra,Alejandro Echavarría,K,T,tarde_valle,6,0,6.574,0,0,0,0.26,9,18,3300,1,1
Itagüí,San Javier,A,B,tarde_pico,2,0,9.423,0,0,1,0.9,5,10,3300,1,1
Loyola,Tricentenario,T,A,noche,1,0,5.797,0,0,0,0.18,9,16,3300,1,0
Loyola,Industriales,T,A,mañana_valle,5,0,5.004,0,0,0,0.34,6,12,3300,1,0
Miraflores,Prado,T,A,mañana_valle,5,0,0.851,0,1,0,0.44,6,8,3300,1,0
Loyola,Hospital,T,A,mañana_valle,4,0,3.225,0,0,0,0.36,4,2,3300,1,0
Itagüí,Miraflores,A,T,tarde_valle,4,0,10.304,0,0,1,0.31,5,11,3300,1,0
Villa Sierra,San Javier,K,B,mañana_pico,7,1,8.434,0,0,1,1.0,5,16,3300,1,1
La Estrella,Juan XXIII,A,J,madrugada,1,0,11.023,0,0,0,0.19,15,8,3300,1,0
Industriales,Santo Domingo,A,K,mañana_valle,1,0,10.116,0,0,1,0.31,7,16,3300,1,1
Itagüí,Andalucía,A,K,madrugada,7,1,15.872,0,0,0,0.11,12,12,3300,1,0
Miraflores,Trinidad,T,B,madrugada,4,0,3.125,0,1,0,0.11,11,12,3300,1,0
Andalucía,Itagüí,K,A,madrugada,4,0,15.872,0,0,0,0.15,12,4,3300,1,0
Prado,Universidad,A,A,tarde_pico,3,0,1.629,1,0,0,0.9,4,18,3300,0,1
Trinidad,Parque Berrío,B,A,mañana_pico,5,0,2.463,0,0,0,0.88,2,2,3300,1,1
Madera,Parque Berrío,A,A,noche,3,0,8.209,1,0,0,0.31,10,15,3300,0,0
Parque Berrío,Arví,A,L,tarde_valle,2,0,9.241,0,0,0,0.33,8,11,3300,1,0
San Antonio,Alejandro Echavarría,A,T,tarde_valle,6,0,1.746,0,1,0,0.46,8,11,3300,1,0
Juan XXIII,Vallejuelos,J,J,tarde_valle,4,0,1.139,1,0,0,0.43,6,16,3300,0,0
Bello,Suramericana,A,B,mañana_valle,6,0,9.741,0,0,0,0.33,7,10,3300,1,0
Trece de Noviembre,Bello,M,A,tarde_valle,4,0,11.348,0,0,0,0.32,9,8,3300,1,0
Acevedo,Santo Domingo,A,K,tarde_pico,2,0,4.127,0,1,1,0.83,5,5,3300,1,1
Aguacatala,Madera,A,A,tarde_valle,6,0,13.148,1,0,0,0.28,4,15,3300,0,0
San Javier,Bicentenario,B,T,mañana_pico,4,0,6.634,0,1,0,0.92,5,17,3300,1,1
Arví,Asomadera,L,T,noche,6,0,6.375,0,0,0,0.16,7,17,3300,1,0
Industriales,Villa Sierra,A,K,mañana_valle,6,0,8.857,0,0,0,0.42,7,11,3300,1,0
Alpujarra,Asomadera,A,T,tarde_valle,3,0,4.571,0,0,0,0.39,9,9,3300,1,0
Arví,Asomadera,L,T,mañana_pico,2,0,6.375,0,0,0,0.82,4,8,3300,1,1
La Estrella,Itagüí,A,A,noche,2,0,1.523,1,0,0,0.29,9,11,3300,0,0
Asomadera,Santa Lucía,T,B,tarde_valle,7,0,6.859,0,0,0,0.32,8,18,3300,1,0
Suramericana,Alejandro Echavarría,B,T,mañana_valle,7,0,3.04,0,0,0,0.37,6,3,3300,1,0
Santa Lucía,Loyola,B,T,noche,3,0,6.257,0,0,0,0.3,7,7,3300,1,0
La Aurora,Envigado,J,A,tarde_valle,6,0,11.161,0,0,0,0.32,4,8,3300,1,0
Aguacatala,Acevedo,A,A,noche,5,0,11.203,1,0,1,0.2,7,2,3300,0,0
Universidad,Bicentenario,A,T,mañana_valle,6,0,2.911,0,0,0,0.42,5,1,3300,1,0
Andalucía,San Antonio,K,A,tarde_pico,6,0,6.54,0,0,1,0.93,5,16,3300,1,1
La Sierra,Exposiciones,M,A,mañana_valle,3,0,3.163,0,0,0,0.37,4,3,3300,1,0
La Sierra,Villa Sierra,M,K,mañana_pico,5,0,8.439,0,0,0,0.93,2,6,3300,1,1
Alejandro Echavarría,Alpujarra,T,A,madrugada,7,0,2.271,0,0,0,0.15,12,2,3300,1,0
Niquía,San Javier,A,B,tarde_valle,5,0,10.2,0,0,1,0.28,6,10,3300,1,1
Loyola,Andalucía,T,K,tarde_valle,4,0,6.932,0,0,0,0.47,5,17,3300,1,0
Loyola,Envigado,T,A,mañana_pico,7,1,9.836,0,0,0,0.79,5,9,3300,1,0
Alpujarra,Niquía,A,A,noche,3,0,11.752,1,0,0,0.31,10,7,3300,0,0
Alpujarra,Trece de Noviembre,A,M,noche,4,0,2.03,0,0,0,0.32,10,11,3300,1,1
Caribe,Alejandro Echavarría,A,T,noche,1,0,3.772,0,0,0,0.19,7,16,3300,1,0
San Javier,Aguacatala,B,A,madrugada,3,0,6.666,0,1,0,0.14,15,9,3300,1,0
Floresta,La Estrella,B,A,tarde_valle,6,0,10.35,0,0,0,0.39,6,12,3300,1,0
Aguacatala,Acevedo,A,A,noche,1,0,11.203,1,0,1,0.24,7,13,3300,0,0
Juan XXIII,La Estrella,J,A,noche,1,0,11.023,0,0,0,0.28,8,12,3300,1,0
Arví,Poblado,L,A,mañana_pico,2,0,12.68,0,0,0,0.87,5,12,3300,1,1
Alejandro Echavarría,Villa Sierra,T,K,tarde_pico,7,0,6.574,0,0,0,0.87,3,8,3300,1,1
Santo Domingo,Caribe,K,A,tarde_valle,4,0,4.996,0,1,0,0.38,6,3,3300,1,0
Villa Sierra,Hospital,K,A,madrugada,7,0,5.209,0,0,0,0.15,10,6,3300,1,0
San Javier,La Aurora,B,J,tarde_pico,1,0,3.436,0,1,0,0.87,5,3,3300,1,1
Juan XXIII,Buenos Aires,J,T,madrugada,4,0,8.311,0,0,0,0.11,14,15,3300,1,0
Villa Sierra,Acevedo,K,A,tarde_valle,4,0,2.132,0,0,1,0.42,6,1,3300,1,0
Miraflores,Ayurá,T,A,madrugada,6,0,6.75,0,1,0,0.12,9,2,3300,1,0
Bicentenario,Santa Lucía,T,B,noche,1,0,5.07,0,0,0,0.26,6,3,3300,1,0
Asomadera,Madera,T,A,mañana_valle,4,0,9.887,0,0,0,0.34,5,14,3300,1,0
Trinidad,Miraflores,B,T,tarde_pico,7,0,3.125,0,0,1,0.79,2,18,3300,1,1
Prado,Trinidad,A,B,madrugada,2,0,2.721,0,0,0,0.2,14,17,3300,1,0
Prado,Aguacatala,A,A,madrugada,7,1,6.057,1,0,0,0.13,14,18,3300,0,0
Suramericana,Poblado,B,A,mañana_pico,4,0,3.978,0,0,0,0.84,4,7,3300,1,1
Hospital,Madera,A,A,noche,4,0,6.924,1,0,0,0.27,6,8,3300,0,0
Industriales,Tricentenario,A,A,madrugada,5,0,6.556,1,0,0,0.1,8,8,3300,0,0
Madera,Alejandro Echavarría,A,T,tarde_pico,2,0,8.698,0,0,0,0.83,2,5,3300,1,1
Juan XXIII,Itagüí,J,A,mañana_pico,7,0,10.209,0,0,0,0.89,4,8,3300,1,1
La Estrella,Parque Berrío,A,A,noche,5,0,11.412,1,0,0,0.19,8,9,3300,0,0
Acevedo,Villa Sierra,A,K,tarde_valle,6,0,2.132,0,1,0,0.48,9,14,3300,1,0
Andalucía,Oriente,K,T,madrugada,3,0,7.521,0,0,0,0.19,14,17,3300,1,0
San Javier,Bicentenario,B,T,tarde_pico,2,0,6.634,0,1,0,0.77,3,18,3300,1,1
Asomadera,Aguacatala,T,A,mañana_pico,3,0,7.171,0,0,0,0.96,3,15,3300,1,1
Acevedo,Villa Sierra,A,K,tarde_pico,4,0,2.132,0,1,0,0.84,3,13,3300,1,1
Aguacatala,Envigado,A,A,mañana_pico,3,0,3.1,1,0,0,0.91,5,12,3300,0,1
Caribe,Andalucía,A,K,noche,7,1,2.883,0,0,0,0.2,11,2,3300,1,0
Tricentenario,Industriales,A,A,tarde_valle,6,0,6.556,1,0,0,0.42,5,16,3300,0,0
Industriales,Santa Lucía,A,B,mañana_valle,1,0,2.628,0,0,0,0.35,5,4,3300,1,0
Asomadera,Aguacatala,T,A,noche,5,0,7.171,0,0,0,0.29,9,8,3300,1,1
Andalucía,San Javier,K,B,mañana_valle,4,0,7.533,0,0,1,0.42,6,10,3300,1,0
Ayurá,Suramericana,A,B,tarde_valle,4,0,6.421,0,0,0,0.37,9,16,3300,1,0
San Javier,Industriales,B,A,mañana_valle,3,0,3.938,0,1,0,0.4,8,8,3300,1,1
Parque Berrío,Bello,A,A,mañana_valle,5,0,10.056,1,0,0,0.53,8,14,3300,0,0
Itagüí,Parque Berrío,A,A,mañana_pico,3,0,10.036,1,0,0,0.81,3,16,3300,0,1
Andalucía,Floresta,K,B,mañana_valle,7,0,7.142,0,0,0,0.54,7,15,3300,1,0
San Antonio,Trinidad,A,B,mañana_pico,2,0,2.082,0,1,0,0.93,5,6,3300,1,1
La Aurora,Acevedo,J,A,tarde_valle,1,0,7.577,0,0,1,0.46,4,2,3300,1,0
Niquía,Bicentenario,A,T,mañana_pico,7,0,12.346,0,0,0,0.77,3,1,3300,1,1
Industriales,Vallejuelos,A,J,tarde_pico,3,0,6.342,0,0,0,0.72,5,16,3300,1,1
Bello,Niquía,A,A,tarde_valle,5,0,1.556,1,0,0,0.35,4,17,3300,0,0
Envigado,Andalucía,A,K,mañana_valle,1,0,14.366,0,0,0,0.43,7,6,3300,1,1
Universidad,Hospital,A,A,tarde_valle,2,0,0.868,1,0,0,0.31,8,17,3300,0,1
Ayurá,Trinidad,A,B,mañana_valle,7,0,6.637,0,0,0,0.39,7,15,3300,1,0
Villa Sierra,Aguacatala,K,A,noche,2,0,12.002,0,0,0,0.21,12,3,3300,1,1
La Sierra,Madera,M,A,madrugada,4,0,10.563,0,0,0,0.14,15,2,3300,1,0
Trece de Noviembre,Niquía,M,A,noche,2,0,12.81,0,0,0,0.17,12,14,3300,1,1
La Sierra,Floresta,M,B,tarde_valle,7,0,6.114,0,0,0,0.47,4,8,3300,1,0
Industriales,La Independencia,A,K,tarde_pico,3,0,9.442,0,0,0,0.71,2,9,3300,1,1
La Aurora,La Independencia,J,K,noche,1,0,10.641,0,0,0,0.19,12,11,3300,1,0
Bello,Poblado,A,A,tarde_valle,2,0,13.717,1,0,0,0.44,9,13,3300,0,0
Tricentenario,San Javier,A,B,mañana_pico,5,0,5.93,0,0,1,0.81,5,18,3300,1,1
Floresta,Miraflores,B,T,noche,2,0,4.621,0,0,1,0.31,11,3,3300,1,0
Juan XXIII,Santa Lucía,J,B,madrugada,1,0,2.782,0,0,0,0.14,9,11,3300,1,0
Santo Domingo,Trece de Noviembre,K,M,tarde_valle,4,0,8.288,0,1,0,0.49,6,1,3300,1,0
Trece de Noviembre,Envigado,M,A,tarde_pico,4,0,7.984,0,0,0,0.76,5,14,3300,1,1
Alpujarra,Santo Domingo,A,K,noche,4,0,8.629,0,0,1,0.17,10,10,3300,1,1
Aguacatala,Tricentenario,A,A,madrugada,3,0,9.82,1,0,0,0.12,10,13,3300,0,0
San Javier,Suramericana,B,B,madrugada,1,0,3.083,1,1,0,0.1,12,15,3300,0,0
Trinidad,Envigado,B,A,madrugada,2,0,7.854,0,0,0,0.11,14,15,3300,1,0
Andalucía,Villa Sierra,K,K,tarde_valle,4,0,1.046,1,0,0,0.28,4,12,3300,0,0
Andalucía,Caribe,K,A,tarde_valle,5,0,2.883,0,0,0,0.45,7,1,3300,1,1
Itagüí,Bicentenario,A,T,tarde_pico,7,1,10.96,0,0,0,0.93,3,17,3300,1,1
San Antonio,Miraflores,A,T,mañana_pico,2,0,1.095,0,1,1,0.82,4,16,3300,1,1
Parque Berrío,Tricentenario,A,A,mañana_pico,4,0,4.585,1,0,0,0.82,4,16,3300,0,1
Tricentenario,Suramericana,A,B,mañana_valle,2,0,4.823,0,0,0,0.48,7,7,3300,1,1
Loyola,Universidad,T,A,mañana_pico,3,0,3.744,0,0,0,0.75,5,11,3300,1,1
Arví,Suramericana,L,B,mañana_valle,4,0,10.803,0,0,0,0.38,8,5,3300,1,1
La Estrella,Floresta,A,B,tarde_valle,6,0,10.35,0,0,0,0.3,6,6,3300,1,0
Miraflores,San Javier,T,B,mañana_valle,6,0,5.438,0,1,1,0.47,7,8,3300,1,0
San Javier,Miraflores,B,T,mañana_valle,7,0,5.438,0,1,1,0.39,8,7,3300,1,0
La Independencia,La Aurora,K,J,mañana_pico,6,0,10.641,0,0,0,0.94,2,15,3300,1,1
Industriales,Loyola,A,T,mañana_valle,7,0,5.004,0,0,0,0.5,7,16,3300,1,0
Prado,La Sierra,A,M,mañana_valle,2,0,2.974,0,0,0,0.36,5,14,3300,1,0
Suramericana,Tricentenario,B,A,tarde_pico,5,0,4.823,0,0,0,0.82,5,18,3300,1,1
Juan XXIII,Alejandro Echavarría,J,T,tarde_valle,1,0,7.223,0,0,0,0.45,6,18,3300,1,0
Santo Domingo,La Sierra,K,M,madrugada,1,0,9.069,0,1,0,0.18,13,6,3300,1,0
La Sierra,Arví,M,L,madrugada,5,0,9.026,0,0,0,0.2,14,11,3300,1,0
Bicentenario,Universidad,T,A,madrugada,1,0,2.911,0,0,0,0.13,11,15,3300,1,0
Trinidad,Alejandro Echavarría,B,T,tarde_pico,7,0,3.782,0,0,0,0.87,3,12,3300,1,1
Bello,Oriente,A,T,madrugada,3,0,12.145,0,0,0,0.14,9,4,3300,1,0
Parque Berrío,Trinidad,A,B,mañana_valle,3,0,2.463,0,0,0,0.41,5,17,3300,1,1
Asomadera,Santa Lucía,T,B,tarde_pico,1,0,6.859,0,0,0,0.81,5,11,3300,1,1
Tricentenario,San Javier,A,B,madrugada,7,0,5.93,0,0,1,0.1,13,4,3300,1,0
San Antonio,Ayurá,A,A,tarde_valle,2,0,6.278,1,1,0,0.39,6,18,3300,0,0
Bicentenario,Asomadera,T,T,mañana_pico,7,0,1.792,1,0,0,0.8,5,13,3300,0,1
Bello,Trece de Noviembre,A,M,mañana_pico,4,0,11.348,0,0,0,0.9,5,1,3300,1,1
Industriales,Poblado,A,A,mañana_valle,7,0,2.179,1,0,0,0.5,8,4,3300,0,0
La Aurora,Alpujarra,J,A,mañana_valle,3,0,7.355,0,0,0,0.35,4,9,3300,1,1
Oriente,La Aurora,T,J,noche,3,0,12.15,0,0,0,0.27,10,13,3300,1,1
La Independencia,Hospital,K,A,mañana_valle,3,0,5.716,0,0,0,0.51,8,6,3300,1,0
La Estrella,Trece de Noviembre,A,M,tarde_valle,1,0,11.239,0,0,0,0.42,6,4,3300,1,1
Aguacatala,San Javier,A,B,madrugada,2,0,6.666,0,0,1,0.14,10,17,3300,1,0
Suramericana,Bicentenario,B,T,tarde_valle,2,0,3.582,0,0,0,0.39,7,6,3300,1,1
Oriente,La Sierra,T,M,tarde_valle,6,0,3.148,0,0,0,0.48,5,18,3300,1,0
San Antonio,Juan XXIII,A,J,mañana_valle,2,0,5.592,0,1,0,0.35,7,2,3300,1,1
Santa Lucía,Niquía,B,A,tarde_pico,2,0,10.524,0,0,0,0.75,5,18,3300,1,1
Juan XXIII,Oriente,J,T,tarde_pico,6,0,10.171,0,0,0,0.82,5,16,3300,1,1
San Antonio,Caribe,A,A,tarde_valle,1,0,3.668,1,1,0,0.45,5,10,3300,0,0
Madera,Itagüí,A,A,mañana_pico,5,0,16.988,1,0,0,0.82,5,16,3300,0,1
Andalucía,Juan XXIII,K,J,madrugada,5,0,7.771,0,0,0,0.11,13,18,3300,1,0
Madera,Loyola,A,T,tarde_valle,2,0,9.561,0,0,0,0.5,4,8,3300,1,1
La Estrella,Madera,A,A,tarde_pico,3,0,18.071,1,0,0,0.79,2,15,3300,0,1
Hospital,Ayurá,A,A,mañana_pico,7,0,8.059,1,0,0,0.92,5,6,3300,0,1
Arví,Prado,L,A,mañana_pico,7,1,8.762,0,0,0,0.76,4,18,3300,1,1
Envigado,Arví,A,L,tarde_valle,2,0,16.613,0,0,0,0.33,9,10,3300,1,0
Itagüí,La Independencia,A,K,mañana_valle,7,0,17.086,0,0,0,0.53,4,5,3300,1,0
Alejandro Echavarría,Acevedo,T,A,mañana_valle,7,0,6.422,0,0,1,0.48,5,8,3300,1,0
Parque Berrío,Floresta,A,B,mañana_pico,7,0,3.958,0,0,0,0.85,3,9,3300,1,1
Trece de Noviembre,Alejandro Echavarría,M,T,tarde_pico,4,0,0.952,0,0,0,0.72,2,13,3300,1,1
Juan XXIII,Envigado,J,A,noche,3,0,9.402,0,0,0,0.24,9,11,3300,1,0
La Independencia,Niquía,K,A,noche,1,0,7.409,0,0,0,0.3,9,12,3300,1,0
Tricentenario,Andalucía,A,K,tarde_pico,2,0,1.758,0,0,0,0.94,3,16,3300,1,1
Envigado,Floresta,A,B,mañana_valle,3,0,8.194,0,0,0,0.44,5,16,3300,1,1
Floresta,Acevedo,B,A,madrugada,1,0,6.377,0,0,1,0.16,15,1,3300,1,0
Hospital,Alpujarra,A,A,tarde_pico,4,0,2.267,1,0,0,0.7,5,7,3300,0,0
Prado,San Javier,A,B,mañana_pico,7,0,4.943,0,0,1,0.82,4,9,3300,1,1
Caribe,Suramericana,A,B,noche,6,0,3.745,0,0,0,0.18,9,10,3300,1,0
Poblado,Buenos Aires,A,T,noche,1,0,5.413,0,0,0,0.29,6,7,3300,1,0
Asomadera,Tricentenario,T,A,mañana_pico,5,0,6.16,0,0,0,0.81,5,1,3300,1,1
Niquía,Santa Lucía,A,B,madrugada,7,0,10.524,0,0,0,0.11,9,8,3300,1,0
Suramericana,Caribe,B,A,noche,7,1,3.745,0,0,0,0.21,8,5,3300,1,0
Suramericana,Prado,B,A,noche,6,0,2.049,0,0,0,0.18,10,1,3300,1,0
Arví,San Antonio,L,A,tarde_pico,3,0,9.741,0,0,1,0.88,3,14,3300,1,1
Arví,Buenos Aires,L,T,mañana_pico,1,0,7.292,0,0,0,0.97,3,4,3300,1,1
La Independencia,Suramericana,K,B,mañana_valle,4,0,7.87,0,0,0,0.38,5,8,3300,1,0
Envigado,Caribe,A,A,mañana_pico,5,0,11.494,1,0,0,0.9,4,1,3300,0,1
La Estrella,Industriales,A,A,tarde_valle,5,0,8.977,1,0,0,0.38,9,13,3300,0,0
Itagüí,Acevedo,A,A,mañana_pico,4,0,15.351,1,0,1,0.85,3,16,3300,0,1
Trece de Noviembre,Santo Domingo,M,K,madrugada,5,0,8.288,0,0,1,0.19,8,12,3300,1,0
San Javier,Prado,B,A,tarde_pico,7,0,4.943,0,1,0,0.81,3,16,3300,1,1
Tricentenario,Bello,A,A,tarde_valle,1,0,5.677,1,0,0,0.25,5,2,3300,0,0
Acevedo,Alejandro Echavarría,A,T,tarde_valle,3,0,6.422,0,1,0,0.41,8,14,3300,1,0
Bicentenario,Miraflores,T,T,madrugada,6,0,1.2,1,0,1,0.15,10,9,3300,0,0
Caribe,San Javier,A,B,madrugada,5,0,5.312,0,0,1,0.19,10,18,3300,1,0
San Javier,Alejandro Echavarría,B,T,tarde_valle,6,0,6.091,0,1,0,0.44,9,3,3300,1,0
La Estrella,Buenos Aires,A,T,noche,7,1,12.763,0,0,0,0.2,9,4,3300,1,0
Loyola,Trece de Noviembre,T,M,tarde_valle,1,0,2.14,0,0,0,0.33,9,6,3300,1,0
Hospital,Niquía,A,A,noche,2,0,10.262,1,0,0,0.29,7,16,3300,0,0
Santa Lucía,La Aurora,B,J,tarde_valle,7,0,4.921,0,0,0,0.31,6,5,3300,1,0
Envigado,Hospital,A,A,madrugada,3,0,9.747,1,0,0,0.18,12,17,3300,0,0
Tricentenario,Envigado,A,A,noche,5,0,12.62,1,0,0,0.28,9,15,3300,0,0
Juan XXIII,Trinidad,J,B,madrugada,4,0,3.53,0,0,0,0.19,10,12,3300,1,0
San Antonio,Envigado,A,A,madrugada,5,0,7.943,1,1,0,0.17,9,8,3300,0,0
Juan XXIII,Niquía,J,A,madrugada,7,0,9.602,0,0,0,0.12,15,12,3300,1,0
Suramericana,Parque Berrío,B,A,mañana_pico,7,1,1.723,0,0,0,0.95,5,8,3300,1,1
San Javier,Aguacatala,B,A,tarde_pico,6,0,6.666,0,1,0,0.78,2,12,3300,1,1
Hospital,Vallejuelos,A,J,noche,1,0,6.937,0,0,0,0.19,12,17,3300,1,1
Madera,Alejandro Echavarría,A,T,madrugada,4,0,8.698,0,0,0,0.19,12,11,3300,1,0
Caribe,Villa Sierra,A,K,tarde_pico,1,0,3.465,0,0,0,0.79,4,10,3300,1,1
Arví,Aguacatala,L,A,tarde_pico,3,0,13.546,0,0,0,0.85,5,7,3300,1,1
La Aurora,Aguacatala,J,A,mañana_pico,1,0,9.886,0,0,0,0.98,2,8,3300,1,1
La Aurora,Santa Lucía,J,B,noche,7,0,4.921,0,0,0,0.15,8,1,3300,1,0
Suramericana,La Estrella,B,A,madrugada,2,0,10.558,0,0,0,0.15,11,14,3300,1,0
Oriente,Acevedo,T,A,mañana_pico,6,0,7.968,0,0,1,0.82,2,8,3300,1,1
Vallejuelos,Alejandro Echavarría,J,T,noche,3,0,8.276,0,0,0,0.24,11,3,3300,1,0
La Independencia,Universidad,K,A,tarde_valle,2,0,4.928,0,0,0,0.41,7,3,3300,1,1
La Independencia,Villa Sierra,K,K,madrugada,4,0,0.988,1,0,0,0.17,10,8,3300,0,0
Itagüí,Ayurá,A,A,mañana_valle,7,0,4.031,1,0,0,0.51,6,11,3300,0,0
Buenos Aires,Envigado,T,A,mañana_pico,1,0,9.456,0,0,0,0.99,3,4,3300,1,1
Parque Berrío,Universidad,A,A,mañana_pico,4,0,2.282,1,0,0,0.87,5,4,3300,0,1
La Aurora,Santa Lucía,J,B,mañana_pico,4,0,4.921,0,0,0,0.83,4,4,3300,1,1
Caribe,Alpujarra,A,A,noche,3,0,4.007,1,0,0,0.32,11,2,3300,0,0
Industriales,Floresta,A,B,mañana_pico,1,0,3.238,0,0,0,0.93,4,13,3300,1,1
Juan XXIII,Acevedo,J,A,noche,3,0,6.821,0,0,1,0.2,7,1,3300,1,0
Miraflores,Loyola,T,T,tarde_valle,6,0,2.389,1,1,0,0.39,4,15,3300,0,0
Universidad,Parque Berrío,A,A,madrugada,1,0,2.282,1,0,0,0.11,11,5,3300,0,0
Exposiciones,Alejandro Echavarría,A,T,mañana_valle,6,0,2.837,0,0,0,0.46,4,9,3300,1,0
Tricentenario,Bello,A,A,madrugada,2,0,5.677,1,0,0,0.19,15,5,3300,0,0
Caribe,Santa Lucía,A,B,madrugada,1,0,4.305,0,0,0,0.19,8,6,3300,1,0
Villa Sierra,Bicentenario,K,T,noche,4,0,6.635,0,0,0,0.25,9,14,3300,1,0
Alpujarra,Trinidad,A,B,mañana_pico,2,0,1.701,0,0,0,0.82,5,5,3300,1,1
Madera,Trece de Noviembre,A,M,tarde_valle,5,0,9.477,0,0,0,0.31,6,16,3300,1,0
Alejandro Echavarría,Villa Sierra,T,K,tarde_pico,1,0,6.574,0,0,0,0.72,5,5,3300,1,1
Alejandro Echavarría,Exposiciones,T,A,noche,7,0,2.837,0,0,0,0.28,12,18,3300,1,0
Bello,Miraflores,A,T,noche,3,0,10.337,0,0,1,0.25,12,16,3300,1,0
Santa Lucía,La Independencia,B,K,tarde_valle,3,0,8.455,0,0,0,0.35,5,1,3300,1,0
San Javier,Arví,B,L,mañana_pico,1,0,13.404,0,1,0,0.97,4,2,3300,1,1
Asomadera,La Aurora,T,J,mañana_valle,7,0,11.519,0,0,0,0.36,5,4,3300,1,0
Aguacatala,Ayurá,A,A,mañana_valle,5,0,1.281,1,0,0,0.5,4,8,3300,0,0
Villa Sierra,Suramericana,K,B,mañana_valle,7,0,7.209,0,0,0,0.34,5,11,3300,1,0
Santa Lucía,Santo Domingo,B,K,madrugada,6,0,9.301,0,0,1,0.17,10,7,3300,1,0
Oriente,Andalucía,T,K,mañana_valle,2,0,7.521,0,0,0,0.42,4,2,3300,1,0
Poblado,Arví,A,L,mañana_pico,1,0,12.68,0,0,0,0.88,2,11,3300,1,1
Arví,Exposiciones,L,A,mañana_pico,3,0,10.93,0,0,0,0.93,4,2,3300,1,1
Bello,San Antonio,A,A,tarde_valle,6,0,10.217,1,0,1,0.48,4,17,3300,0,0
Trinidad,Tricentenario,B,A,mañana_valle,6,0,4.948,0,0,0,0.54,7,4,3300,1,0
Floresta,La Estrella,B,A,mañana_valle,2,0,10.35,0,0,0,0.54,7,16,3300,1,1
La Sierra,San Javier,M,B,mañana_pico,6,0,6.916,0,0,1,0.99,4,8,3300,1,1
La Independencia,Alpujarra,K,A,tarde_pico,3,0,7.965,0,0,0,0.88,4,5,3300,1,1
Alpujarra,Niquía,A,A,noche,5,0,11.752,1,0,0,0.23,12,2,3300,0,0
Alpujarra,Arví,A,L,mañana_valle,7,0,10.302,0,0,0,0.36,8,4,3300,1,0
Oriente,Parque Berrío,T,A,mañana_valle,6,0,4.297,0,0,0,0.32,6,11,3300,1,0
San Antonio,La Sierra,A,M,madrugada,7,0,2.679,0,1,0,0.16,13,15,3300,1,0
Niquía,Envigado,A,A,mañana_pico,2,0,18.5,1,0,0,0.92,4,9,3300,0,1
Universidad,Niquía,A,A,madrugada,4,0,9.463,1,0,0,0.14,14,6,3300,0,0
Alejandro Echavarría,Juan XXIII,T,J,tarde_pico,3,0,7.223,0,0,0,0.84,2,16,3300,1,1
Villa Sierra,Poblado,K,A,mañana_pico,4,0,10.838,0,0,0,0.77,2,10,3300,1,1
Bello,Floresta,A,B,mañana_valle,1,0,9.22,0,0,0,0.32,5,13,3300,1,1
San Antonio,Tricentenario,A,A,tarde_valle,1,0,4.856,1,1,0,0.33,8,16,3300,0,0
Bello,Buenos Aires,A,T,noche,2,0,11.112,0,0,0,0.27,9,6,3300,1,0
Acevedo,Hospital,A,A,mañana_valle,2,0,4.699,1,1,0,0.54,7,18,3300,0,0
La Aurora,Ayurá,J,A,noche,3,0,10.87,0,0,0,0.21,6,2,3300,1,0
Miraflores,La Independencia,T,K,tarde_valle,7,0,7.007,0,1,0,0.26,4,14,3300,1,0
